pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_eqt,st_rad,st_mass,st_logg,sy_dist,st_rotp
HD 169830 c,1,2,Radial Velocity,2003,2102,13,0.44,1283.98,850,1.94,1.4,4.1,37.6048,
HD 190360 b,2,2,Radial Velocity,2003,2915.03687,13.5,1.08,489.4582,1330,1.14,0.99,4.32,16.0069,
HD 19994 b,3,1,Radial Velocity,2003,466.2,13.6,1.26,435.41,1600,1.8,1.36,4.29,22.5242,
HD 216770 b,1,1,Radial Velocity,2003,118.45,14.1,1.007,181.1631,1500,0.93,0.74,4.37,36.6625,
HD 23596 b,2,1,Radial Velocity,2003,1561,12.5,0.955,2870.0049,,1.53,1.47,4.23,52.0018,
HD 3651 b,1,1,Radial Velocity,2003,62.25,10.1,0.9,72.46524,,0.87,0.8,4.45,11.1336,
HD 41004 B b,2,2,Radial Velocity,2003,1.3283,12.1,1.01,5838.29,1695,1.04,0.4,4.33,41.5504,
HD 6434 b,1,1,Radial Velocity,2003,21.998,14.2,1.009,155.7367,,1.12,1.1,4.38,42.358,
HD 65216 b,3,2,Radial Velocity,2003,577.6,13.6,1.46,411.58985,,0.88,0.87,4.44,35.1205,
HD 70642 b,1,1,Radial Velocity,2003,2124.54,13.4,1.19,633.43519,1074,0.98,1.08,4.46,29.276,8.9
HD 74156 b,1,2,Radial Velocity,2003,51.645,13.4,1.388,572.07,1438,1.51,1.24,4.14,57.603,
HD 74156 c,1,2,Radial Velocity,2003,2473,12.6,1.166,2561.6,1017,1.51,1.24,4.14,57.603,6.4
HD 82943 b,1,2,Radial Velocity,2003,441.47,13.5,0.15,534.25,1756,1.18,1.08,4.33,27.5902,
HD 82943 c,1,2,Radial Velocity,2003,220.078,13.4,0.253,622.603,,1.18,1.08,4.33,27.5902,
PSR B1620-26 b,2,1,Pulsar Timing,2003,,13.3,0.57,794.575,870,,1.35,,,
gam Cep b,2,1,Radial Velocity,2003,903.3,12.5,1.066,2987.58703,420,4.9,1.4,3.33,14.1024,
2MASS J12073346-3932539 b,1,1,Imaging,2004,,12.9,0.57,1589.15,938,0.22,0.02,5.03,64.308,
55 Cnc c,2,5,Radial Velocity,2004,44.3989,8.51,1.1,54.4738,,0.94,0.91,4.43,12.5855,
55 Cnc e,2,5,Radial Velocity,2004,0.7365474,1.875,1.06,7.99,,0.94,0.91,4.43,12.5855,
DH Tau b,1,1,Imaging,2004,,30.264,2.7,3496,2200,0.27,0.33,4,134.846,
GJ 436 b,1,1,Radial Velocity,2004,2.64388312,4.17,0.472,22.1,877,0.46,0.47,4.79,9.75321,
GQ Lup b,1,1,Imaging,2004,,33.6,0.273,6356,1239,1.94,0.7,3.65,151.169,
HD 117207 b,1,1,Radial Velocity,2004,2621.75,13.4,0.147,612.14058,1632,1.07,1.05,4.37,32.3547,
HD 117618 b,1,1,Radial Velocity,2004,25.8,8.59,0.166,55.30242,1314,1.2,1.08,4.41,37.7781,
HD 154857 b,1,2,Radial Velocity,2004,408.60001,13.3,1.28,778.6835,1000,2.3,1.96,4.01,63.4482,
HD 160691 c,1,4,Radial Velocity,2004,4205.8,13.4,0.126,576.519,854,1.38,1.08,4.37,15.5981,21.8
HD 160691 d,1,4,Radial Velocity,2004,9.6386,3.24,1.14,10.5547,,1.38,1.08,4.25,15.5981,
HD 183263 b,1,2,Radial Velocity,2004,626.51599,13,0.509,1255.4285,850,1.23,1.31,4.37,54.1955,2.85
HD 188015 b,2,1,Radial Velocity,2004,461.2,13.6,0.093,476.72,,1.13,1.09,4.45,50.6706,
HD 202206 c,2,1,Radial Velocity,2004,1260,12.2,0.167,5689.157,,1.04,1.07,4.5,45.9665,
HD 208487 b,1,1,Radial Velocity,2004,130.08,14.2,0.134,165.265,,1.2,1.13,4.33,45.147,
HD 330075 b,1,1,Radial Velocity,2004,3.38773,14.3,0.062,152.5584,,0.84,0.47,4.26,45.2989,
HD 37605 b,1,2,Radial Velocity,2004,55.01292,13.2,0.116,854.9627,1874,0.91,0.94,4.51,46.7864,
HD 41004 A b,2,2,Radial Velocity,2004,963,13.2,0.109,807.25,,0.85,0.95,4.37,36.69117,
