pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,268.94,0.99,-0.99,0,13.8,,,0,330.5432,149.3801,-149.3801,0,,,,,,,,,0,4864,101,-101,0,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0,4.26,0.29,-0.29,0
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,0.44,-0.44,0,13.8,,,0,337.21763,85.8141,-85.8141,0,,,,,,,,,0,4649,30,-30,0,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,2.61,0.12,-0.12,0
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,137.48,0.34,-0.34,0,13.7,,,0,352.78,,,0,,,,,,,,,0,4796,117,-117,0,14.7,2.8,-2.8,0,1.1,0.2,-0.2,0,2.8,0.45,-0.45,0
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,379.63,2,-2,0,11.6,,,0,17668.1697,24965.5465,-24965.5465,0,,,,,,,,,0,4259,64,-64,0,71.02,73.63,-73.63,0,10.83,22.96,-22.96,0,1.77,0.19,-0.19,0
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,621.99,10.2,-10.2,0,12.4,,,0,3963.17,,,0,,,,,,,,,0,4137,10,-10,0,49,26,-26,0,2.8,1.5,-1.5,0,1.51,0.05,-0.05,0
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,578.2,5.4,-5.4,0,13,,,0,1334.886,,,0,,,,,,,,,0,4296,10,-10,0,17.3,0.9,-0.9,0,0.8,0.2,-0.2,0,1.99,0.05,-0.05,0
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,41.6855,0.003,-0.003,0,2.578,0.112,-0.112,0,22.2481,9.5349,-9.5349,0,,,,,546,19,-18,0,0,5766,99,-99,0,1.08,0.06,-0.06,0,1.67,0.4,-0.4,0,4.5,0.08,-0.08,0
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,307.88,1.47,-1.47,0,13.6,,,0,432.24663,38.13941,-38.13941,0,,,,,,,,,0,5004,50,-50,0,0.81,0.04,-0.04,0,0.81,0.07,-0.07,0,4.22,0.13,-0.13,0
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,392.6,5.5,-5.5,0,13.9,,,0,289.2253,,,0,,,,,,,,,0,4414,15,-15,0,11,1,-1,0,0.74,0.39,-0.39,0,2.24,0.06,-0.06,0
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,733,5,-8,0,13.5,,,0,540.311,222.481,-222.481,0,,,,,,,,,0,4534,8,-8,0,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0,2.48,0.04,-0.04,0
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,2590,300,-180,0,13.5,,,0,508.5,127.1,-63.6,0,,,,,,,,,0,4943,30,-30,0,7.6,1.3,-1.3,0,1.52,0.22,-0.22,0,2.85,0.09,-0.09,0
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,265.59,1.04,-1.04,0,14,,,0,228.83645,25.42627,-25.42627,0,,,,,,,,,0,5012,78,-78,0,0.9,0.06,-0.04,0,0.91,0.1,-0.1,0,4.09,0.16,-0.16,0
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,1198.48,60.79,-60.79,0,13,,,0,1258.60049,98.52681,-98.52681,0,,,,,,,,,0,5000,53,-53,0,0.8,0.04,-0.06,0,0.82,0.08,-0.08,0,4.2,0.17,-0.17,0
