Object,CA_Date,CADistanceNominal,CADistanceMinimum,Vrelative,Vinfinity,H(mag),Diameter,
(2021 GU6),2021-Apr-12 12:37 ± < 00:01,11.71 | 0.03008,11.67 | 0.02997,11.83,11.82,26.4,14 m -   31 m,bK21G06U
(2021 GW4),2021-Apr-12 13:01 ± < 00:01,0.07 | 0.00018,0.07 | 0.00017,8.36,6.28,29.5,3.4 m -  7.6 m,bK21G04W
(2021 HC2),2021-Apr-12 13:35 ±    00:02,1.47 | 0.00377,1.46 | 0.00376,5.49,5.36,28.8,4.6 m -   10 m,bK21H02C
(2021 GP6),2021-Apr-12 13:58 ± < 00:01,2.20 | 0.00565,2.19 | 0.00564,8.29,8.23,27,11 m -   24 m,bK21G06P
(2021 GZ12),2021-Apr-12 18:18 ± < 00:01,13.59 | 0.03492,13.43 | 0.03450,8.79,8.78,26.1,16 m -   36 m,bK21G12Z
(2021 GC13),2021-Apr-13 02:36 ± < 00:01,0.89 | 0.00228,0.89 | 0.00228,6.95,6.78,29.1,4.0 m -  8.9 m,bK21G13C
(2021 GC8),2021-Apr-13 22:05 ± < 00:01,0.57 | 0.00146,0.57 | 0.00145,6.85,6.57,30.6,2.0 m -  4.5 m,bK21G08C
(2021 GQ10),2021-Apr-14 05:29 ± < 00:01,0.45 | 0.00116,0.45 | 0.00116,6.58,6.22,26.6,12 m -   28 m,bK21G10Q
(2021 HC),2021-Apr-14 19:57 ± < 00:01,14.63 | 0.03759,14.53 | 0.03733,9.44,9.43,26.1,16 m -   36 m,bK21H00C
(2021 GW16),2021-Apr-14 21:54 ±    00:02,0.08 | 0.00020,0.08 | 0.00019,12.79,11.68,30.1,2.5 m -  5.7 m,bK21G16W
