pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_mass,st_logg,sy_dist
GJ 1061 b,1,3,Radial Velocity,2020,3.204,1.1,1.37,0.31,,2953,0.12,5.16,3.67278
GJ 1061 c,1,3,Radial Velocity,2020,6.689,1.18,1.74,0.29,,2953,0.12,5.16,3.67278
GJ 1061 d,1,3,Radial Velocity,2020,13.031,1.16,1.64,0.53,,2953,0.12,5.16,3.67278
GJ 1132 b,1,2,Transit,2015,1.628931,1.13,1.66,0.22,529,3270,0.18,4.88,12.613
GJ 1132 c,1,2,Radial Velocity,2018,8.929,1.43,2.64,0.27,300,3270,0.18,5.02,12.613
GJ 1148 b,1,2,Radial Velocity,2010,41.38,11.9,96.7,0.38,,3287,0.34,4.87,11.0143
GJ 1148 c,1,2,Radial Velocity,2017,532.58,9.71,68.06,0.342,,3287,0.34,4.87,11.0143
GJ 1151 b,1,1,Radial Velocity,2021,2.018,1.39,2.5,0,,3114,0.17,5.06,8.03625
GJ 1214 b,1,1,Transit,2009,1.58040433,2.742,8.17,0.063,596,3250,0.18,5.03,14.6427
GJ 1252 b,1,1,Transit,2020,0.5182349,1.193,2.09,0,1089,3458,0.38,4.89,20.373
GJ 1265 b,1,1,Radial Velocity,2018,3.6511,2.63,7.4,0.04,,3236,0.18,5.09,10.2525
GJ 143 b,1,2,Transit,2019,35.61253,2.61,22.7,0.188,422,4640,0.73,4.61,16.32
GJ 15 A b,2,2,Radial Velocity,2014,11.4407,1.55,3.03,0.094,550,3607,0.38,4.87,3.56228
GJ 15 A c,2,2,Radial Velocity,2018,7600,6.67,36,0.27,,3607,0.38,4.87,3.56228
GJ 160.2 b,1,1,Radial Velocity,2014,5.2354,3.17,10.2,0.06,,4347,0.69,4.61,25.8557
GJ 163 b,1,3,Radial Velocity,2013,8.63182,3.25,10.6,0.073,,3500,0.4,4.82,15.1285
GJ 163 c,1,3,Radial Velocity,2013,25.63058,2.5,6.8,0.099,,3500,0.4,4.82,15.1285
GJ 163 d,1,3,Radial Velocity,2013,603.95116,5.92,29.4,0.373,,3500,0.4,4.82,15.1285
GJ 179 b,1,1,Radial Velocity,2009,2288,13.9,260.61,0.21,,3370,0.36,4.83,12.356
GJ 180 b,1,3,Radial Velocity,2014,17.133,2.43,6.49,0.07,,3371,0.43,4.81,11.9407
GJ 180 c,1,3,Radial Velocity,2014,24.329,2.41,6.4,0.09,,3371,0.43,4.81,11.9407
GJ 180 d,1,3,Radial Velocity,2020,106.3,2.66,7.56,0.14,,3811.5,0.43,4.81,11.9407
GJ 2056 b,1,1,Radial Velocity,2020,69.971,4.17,16.2,0.72,,4069.95,0.62,4.48,28.4434
