pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_mass,st_logg,sy_dist
Kepler-903 c,1,2,Transit,2016,62.9228557,2.53,6.94,0,462,5682,0.98,4.46,1369.24
Kepler-904 b,1,1,Transit,2016,3.02166863,1.77,3.78,0,1332,6160,1.16,4.31,978.125
Kepler-905 b,1,1,Transit,2016,5.08274652,1.41,2.57,0,928,5461,0.95,4.55,529.268
Kepler-906 b,1,1,Transit,2016,41.6979976,2.11,5.1,0,537,6035,1.06,4.45,757.791
Kepler-907 b,1,1,Transit,2016,15.86621821,1.2,1.87,0,879,6106,1.08,4.19,352
Kepler-908 b,3,1,Transit,2016,1.34059747,1.22,1.98,0,1783,5973,1.11,4.38,290.843
Kepler-909 b,1,1,Transit,2016,13.93290318,1.47,2.76,0,852,6154,1.17,4.33,309.596
Kepler-91 b,1,1,Transit,2013,6.24658,15.323,257.4423,0.0519,2040,4550,1.31,2.95,1294.69
Kepler-910 b,1,1,Transit,2016,2.36436901,0.82,0.477,0,1752,6230,1.26,4.19,400.289
Kepler-911 b,1,1,Transit,2016,20.310501,2.6,7.27,0,931,6112,1.34,3.97,556.168
Kepler-912 b,1,1,Transit,2016,2.53475627,2.8,8.25,0,1218,5998,1.07,4.37,2004.72
Kepler-913 b,1,1,Transit,2016,10.29672521,2.06,4.9,0,1129,4687,0.63,4.67,991.618
Kepler-914 b,1,1,Transit,2016,4.40966548,1.38,2.48,0,1192,5877,1.1,4.36,753.723
Kepler-915 b,1,1,Transit,2016,4.59489604,1.5,2.86,0,1319,6173,1.21,4.24,849.036
Kepler-916 b,1,1,Transit,2016,32.2968798,1.76,3.75,0,503,5248,0.85,4.56,830.712
Kepler-917 b,1,1,Transit,2016,2.97041437,1.91,4.31,0,991,5418,0.8,4.58,3460.51
Kepler-918 b,1,1,Transit,2016,4.85386933,1.74,3.68,0,1052,6028,1.11,4.37,1025.03
Kepler-919 b,1,1,Transit,2016,11.04603384,2.25,5.69,0,869,6113,1.15,4.33,1119.87
Kepler-92 b,1,3,Transit,2013,13.749,3.51,64.3,0.17,975,5883,1.21,4.05,477.992
Kepler-92 c,1,3,Transit,2013,26.723,2.6,6.1,0.04,781,5883,1.21,4.05,477.992
Kepler-92 d,1,3,Transit,2015,49.3568,2.067,4.93,0.07,637,5904.34,1.07,3.95,477.992
Kepler-920 b,1,2,Transit,2016,6.53192704,2.42,6.44,0,907,5403,0.89,4.54,1001.68
Kepler-920 c,1,2,Transit,2016,100.8274113,3.8,13.8,0,364,5403,0.89,4.54,1001.68
Kepler-921 b,1,1,Transit,2016,51.300634,2.87,8.6,0,492,5663,0.93,4.5,934.49
Kepler-922 b,1,1,Transit,2016,0.93846683,1.42,2.6,0,1876,5671,0.95,4.48,536.323
Kepler-923 b,1,1,Transit,2016,6.93366476,1.38,2.48,0,1104,5988,1.11,4.28,1000.28
Kepler-924 b,1,1,Transit,2016,61.0370117,3.07,9.64,0,610,6167,1.14,4.32,1053.04
Kepler-925 b,1,1,Transit,2016,33.8678531,2.34,6.08,0,394,4673,0.77,4.62,611.115
Kepler-926 b,1,1,Transit,2016,52.0688601,2.31,5.95,0,524,5806,1.01,4.43,921.361
Kepler-927 b,1,1,Transit,2016,9.1149903,1.72,3.61,0,906,5743,0.99,4.45,831.685
Kepler-928 b,1,1,Transit,2016,3.9324613,1.59,3.15,0,894,4700,0.73,4.62,508.809
Kepler-929 b,1,1,Transit,2016,0.92103214,1.11,1.41,0,2362,5869,1.01,4.42,1311.23
Kepler-93 b,1,2,Transit,2014,4.72674,1.569,4.54426,0,1037,5669,1.09,4.47,95.9115
Kepler-93 c,1,2,Radial Velocity,2014,1460,,954,,,5669,0.91,4.47,95.9115
Kepler-930 b,1,1,Transit,2016,71.4517775,2.13,5.18,0,561,6335,1.25,4.24,848.396
Kepler-931 b,1,1,Transit,2016,8.03755877,1.33,2.33,0,744,5241,0.86,4.55,490
Kepler-932 b,1,1,Transit,2016,1.9214374,1.37,2.45,0,1276,5331,0.87,4.54,465.612
Kepler-933 b,1,1,Transit,2016,14.20443009,2.46,6.62,0,602,5346,0.87,4.54,1017.2
Kepler-934 b,1,1,Transit,2016,55.6738309,2.09,5.02,0,384,5001,0.81,4.59,608.738
Kepler-935 b,1,1,Transit,2016,4.88083852,1.35,2.39,0,879,4830,0.78,4.61,471.782
Kepler-936 b,1,1,Transit,2016,10.56134221,1.45,2.7,0,867,5482,0.92,4.51,823.399
Kepler-937 b,1,2,Transit,2016,67.668827,3.72,13.4,0,495,6095,1.15,4.32,1571.46
Kepler-937 c,1,2,Transit,2016,153.343364,2.67,7.61,0,377,6095,1.15,4.32,1571.46
Kepler-938 b,1,1,Transit,2016,52.6298417,2.22,5.56,0,544,5533,0.92,4.51,1182.05
Kepler-939 b,1,1,Transit,2016,14.878296,1.75,3.71,0,692,5471,0.88,4.54,2093.62
Kepler-94 b,1,2,Transit,2014,2.50806,3.51,10.84,0,997,4781,0.81,4.59,191.904
Kepler-94 c,1,2,Radial Velocity,2014,820.3,12.5,3126,,,4781,0.81,4.59,191.904
Kepler-940 b,1,1,Transit,2016,59.6225257,3.34,11.1,0,486,5769,0.97,4.47,1260.78
Kepler-941 b,1,1,Transit,2016,17.42395198,3.08,9.69,0,722,5539,0.89,4.53,1088.36
Kepler-942 b,1,1,Transit,2016,44.96417488,2.13,5.18,0,379,4861,0.81,4.59,216.354
Kepler-943 b,1,1,Transit,2016,49.7701438,5.93,29.5,0,455,5612,0.93,4.5,2300.53
Kepler-944 b,1,1,Transit,2016,43.3167737,2.63,7.41,0,459,5409,0.86,4.54,1349.43
Kepler-945 b,1,1,Transit,2016,31.0033814,2.63,7.41,0,616,5718,0.97,4.46,1651.25
Kepler-946 b,1,1,Transit,2016,11.79162572,1.93,4.38,0,857,5665,0.94,4.47,1137.29
Kepler-947 b,1,1,Transit,2016,26.9644317,2.28,5.82,0,573,5508,0.9,4.52,1730.78
Kepler-948 b,1,1,Transit,2016,7.76846622,1.85,4.08,0,841,5679,0.96,4.47,868.017
Kepler-949 b,1,1,Transit,2016,8.6893073,2.91,8.8,0,782,5403,0.89,4.53,486.105
Kepler-95 b,1,1,Transit,2014,11.5231,3.42,13,0,927,5699,1.08,4.17,445.656
Kepler-950 b,1,1,Transit,2016,98.7180406,8.98,59.6,0,360,5857,1.02,4.44,2161.6
Kepler-951 b,2,1,Transit,2016,71.52530845,5.59,26.7,0,340,4834,0.77,4.6,382.509
Kepler-952 b,1,1,Transit,2016,130.3546919,7.65,45.4,0,369,5730,1,4.45,1304.25
Kepler-953 b,1,2,Transit,2016,88.40655258,4.21,16.5,0,410,5416,0.95,4.42,258.893
Kepler-953 c,1,2,Transit,2016,9.10967112,1.19,1.81,0,873,5416,0.95,4.42,258.893
Kepler-954 b,1,1,Transit,2016,16.78176602,2.32,5.99,0,545,4990,0.82,4.59,215.814
Kepler-955 b,1,1,Transit,2016,14.53244172,3.13,9.96,0,664,5350,0.89,4.54,550.383
Kepler-956 b,1,1,Transit,2016,5.24867263,3,9.27,0,1056,6040,1.1,4.36,544.939
Kepler-957 b,1,1,Transit,2016,5.90741354,5.5,25.9,0,769,4963,0.81,4.6,824.688
Kepler-958 b,1,1,Transit,2016,9.7678805,2.06,4.9,0,749,5421,0.91,4.53,449.773
Kepler-959 b,1,1,Transit,2016,14.80074836,4.38,17.6,0,1912,7005,1.6,4.04,807.729
Kepler-96 b,1,1,Transit,2014,16.2385,2.67,8.46,0,711,5690,1,4.42,122.881
Kepler-960 b,1,1,Transit,2016,3.12686223,2.29,5.86,0,1391,4755,0.77,4.61,284.916
Kepler-961 b,1,1,Transit,2016,16.87727414,2.55,7.04,0,642,5582,0.96,4.51,574.314
Kepler-962 b,1,1,Transit,2016,12.05707239,1.97,4.54,0,689,5478,0.93,4.54,411.486
Kepler-963 b,1,1,Transit,2016,9.97683705,2.66,7.56,0,802,5461,0.91,4.52,771.494
Kepler-964 b,1,1,Transit,2016,13.5225106,2.12,5.14,0,652,5427,0.93,4.55,454.626
Kepler-965 b,1,1,Transit,2016,134.2527298,3.38,11.4,0,393,5886,1.05,4.33,582.828
Kepler-966 b,1,1,Transit,2016,99.747622,4.13,16,0,391,5840,1.02,4.43,1027.8
Kepler-967 b,1,2,Transit,2016,13.22713379,2.35,6.12,0,638,5178,0.84,4.56,568.546
Kepler-967 c,1,2,Transit,2016,198.7112502,3.65,12.9,0,258,5178,0.84,4.56,568.546
Kepler-968 b,1,3,Transit,2016,3.69298373,2,4.66,0,745,4598,0.76,4.63,290.324
Kepler-968 c,1,3,Transit,2016,5.70940492,1.69,3.5,0,644,4598,0.76,4.63,290.324
Kepler-969 b,1,2,Transit,2016,34.1731714,2.07,4.94,0,465,5214,0.92,4.57,390.354
Kepler-969 c,1,2,Transit,2016,1.6829346,0.99,0.937,0,1270,5214,0.92,4.57,390.354
Kepler-97 b,1,2,Transit,2014,2.58664,1.48,3.51,0,1328,5779,0.94,4.43,400.907
Kepler-97 c,1,2,Radial Velocity,2014,789,,344,,,5779,0.94,4.43,400.907
Kepler-970 b,2,1,Transit,2016,16.73652231,2.77,8.1,0,464,4511,0.7,4.64,331.545
Kepler-971 b,1,1,Transit,2016,9.59070716,2.13,5.18,0,1087,5431,0.88,4.54,338.522
Kepler-972 b,1,1,Transit,2016,7.03932553,4.65,19.5,0,1060,6146,1.15,4.33,1198.03
Kepler-973 b,1,1,Transit,2016,49.6077331,1.96,4.5,0,402,5213,0.86,4.58,328.52
Kepler-974 b,1,1,Transit,2016,4.19449651,1.57,3.09,0,577,3687,0.52,4.76,134.311
Kepler-975 b,1,1,Transit,2016,1.97034246,1.48,2.79,0,1599,4897,0.8,4.59,426.088
Kepler-976 b,1,1,Transit,2016,105.9564148,3.96,14.9,0,324,5232,0.87,4.55,1012.41
Kepler-977 b,1,1,Transit,2016,26.85328322,2.62,7.37,0,544,5315,0.87,4.55,568.751
Kepler-978 b,1,1,Transit,2016,49.6221509,2.99,9.22,0,546,6002,1.07,4.38,682.522
Kepler-979 b,1,1,Transit,2016,8.0880135,2.72,7.85,0,792,5310,0.87,4.54,576.503
Kepler-98 b,1,1,Transit,2014,1.54168,1.99,3.55,0,1592,5539,0.99,4.34,350.315
Kepler-980 b,1,1,Transit,2016,11.55102504,2.67,7.61,0,845,5935,1.05,4.41,961.468
Kepler-981 b,1,1,Transit,2016,4.46975774,2.31,5.95,0,1103,5718,0.98,4.47,878.082
Kepler-982 b,1,1,Transit,2016,15.7738221,2.25,5.69,0,955,6139,1.16,4.28,801.479
Kepler-983 b,1,1,Transit,2016,60.0855082,2.36,6.17,0,485,6052,1.13,4.42,714.437
Kepler-984 b,1,1,Transit,2016,43.0342272,2.12,5.14,0,484,5610,0.96,4.49,460.188
Kepler-985 b,1,1,Transit,2016,116.331901,2.98,9.17,0,323,5434,0.91,4.54,679.361
Kepler-986 b,1,1,Transit,2016,56.4349938,2.36,6.17,0,465,5642,0.96,4.43,548.364
Kepler-987 b,1,1,Transit,2016,105.3033148,3.26,10.7,0,351,5637,0.97,4.51,914.126
Kepler-988 b,1,1,Transit,2016,17.76080053,2.07,4.94,0,368,4005,0.55,4.73,304.889
Kepler-989 b,1,1,Transit,2016,7.96431535,2.21,5.52,0,805,5074,0.82,4.58,491.978
Kepler-99 b,2,1,Transit,2014,4.60358,1.48,6.15,0,810,4782,0.79,4.61,208.369
Kepler-990 b,1,2,Transit,2016,9.91723428,2.6,7.27,0,903,5948,1.05,4.39,802.163
Kepler-990 c,1,2,Transit,2016,0.53835431,1.53,2.96,0,2386,5948,1.05,4.39,802.163
Kepler-991 b,1,1,Transit,2016,82.5342519,2.54,6.99,0,260,4392,0.64,4.67,389.561
Kepler-992 b,1,1,Transit,2016,20.16034462,1.62,3.26,0,510,4944,0.8,4.6,259.639
Kepler-993 b,1,1,Transit,2016,22.08557563,2.97,9.11,0,352,3843,0.57,4.72,324.423
Kepler-994 b,1,1,Transit,2016,1.15116651,1.6,3.19,0,957,3934,0.56,4.72,188.158
Kepler-995 b,1,1,Transit,2016,28.26731672,2.7,7.75,0,517,5206,0.83,4.57,609.638
Kepler-996 b,1,1,Transit,2016,3.77059058,1.98,4.58,0,1272,6014,1.09,4.36,1216.58
Kepler-997 b,1,1,Transit,2016,2.70730672,1.36,2.42,0,1709,6150,1.22,4.14,467.568
Kepler-998 b,1,1,Transit,2016,5.65377733,2.32,5.99,0,1020,6058,1.12,4.34,986.364
Kepler-999 b,1,1,Transit,2016,5.99185702,2.34,6.08,0,1355,6237,1.29,4.11,545.063
L 168-9 b,1,1,Transit,2020,1.4015,1.39,4.6,0.21,965,3800,0.62,4.04,25.1496
L 98-59 b,1,4,Transit,2019,2.2531136,0.85,0.4,0.103,627,3415,0.27,4.86,10.6194
L 98-59 c,1,4,Transit,2019,3.6906777,1.385,2.22,0.103,553,3415,0.27,4.86,10.6194
L 98-59 d,1,4,Transit,2019,7.4507245,1.521,1.94,0.074,416,3415,0.27,4.86,10.6194
L 98-59 e,1,4,Radial Velocity,2021,12.796,1.56,3.06,0.128,342,3415,0.27,4.86,10.6194
LHS 1140 b,1,2,Transit,2017,24.73694,1.635,6.38,0.096,379,3216,0.19,5.06,14.9861
LHS 1140 c,1,2,Transit,2018,3.77792,1.169,1.76,0.274,709,3216,0.19,5.06,14.9861
LHS 1478 b,1,1,Transit,2021,1.9495378,1.242,2.33,,595,3381,0.24,4.87,18.2276
LHS 1678 b,1,2,Transit,2021,0.8602322,0.696,0.35,0.25,830,3490,0.34,4.89,19.8782
LHS 1678 c,1,2,Transit,2021,3.694247,0.982,1.4,0.22,511,3490,0.34,4.89,19.8782
LHS 1815 b,1,1,Transit,2020,3.81433,1.088,8.7,0,617,3643,0.5,4.77,29.8424
LHS 3844 b,1,1,Transit,2019,0.46292913,1.303,2.25,,805,3036,0.15,5.06,14.8846
LP 714-47 b,1,1,Transit,2020,4.052037,4.7,30.8,0.04,700,3950,0.59,4.64,52.616
LP 791-18 b,1,2,Transit,2019,0.948005,1.12,1.46,0,650,2960,0.14,5.12,26.4927
LP 791-18 c,1,2,Transit,2019,4.989963,2.31,5.95,0,370,2960,0.14,5.12,26.4927
LSPM J2116+0234 b,1,1,Radial Velocity,2019,14.4399,3.71,13.3,0.183,,3475,0.43,4.95,17.6297
LTT 1445 A b,3,1,Transit,2019,5.35882,1.38,2.2,0.19,433,3337,0.26,4.97,6.86929
LTT 3780 b,2,2,Transit,2020,0.768448,1.332,2.62,0,892,3331,0.4,4.9,21.9814
LTT 3780 c,2,2,Transit,2020,12.2519,2.3,8.6,0.06,353,3331,0.4,4.9,21.9814
LTT 9779 b,1,1,Transit,2020,0.792052,4.72,29.32,0,1978,5443,0.77,4.35,80.4373
LkCa 15 b,1,2,Imaging,2015,,,,,,4194,,3.65,158.152
LkCa 15 c,1,2,Imaging,2015,,,,,,4194,,3.65,158.152
Lupus-TR-3 b,1,1,Transit,2007,3.91405,9.976,257.431,0,,5000,0.87,4.96,773.409
MASCARA-1 b,1,1,Transit,2017,2.14878,16.814,1175.971,0,2570,7554,1.72,4,182.273
MASCARA-4 b,2,1,Transit,2020,2.82406,17.15,985.273,0,2100,7800,1.75,4.1,170.696
MOA-2007-BLG-192L b,1,1,Microlensing,2008,,1.63,3.3,,,,0.06,,1000
MOA-2007-BLG-400L b,1,1,Microlensing,2008,,13.9,260,,103,,0.3,,5800
MOA-2008-BLG-310L b,1,1,Microlensing,2009,,5.18,23.4,,,,0.21,,7700
MOA-2008-BLG-379L b,1,1,Microlensing,2013,,13,1300,,,,0.56,,3300
MOA-2009-BLG-266L b,1,1,Microlensing,2011,2774,3.21,10.4,,,,0.56,,3040
MOA-2009-BLG-319L b,1,1,Microlensing,2010,,9.64,67.3,,,,0.52,,7050
MOA-2009-BLG-387L b,1,1,Microlensing,2010,1982,13.2,830,,,,0.19,,5690
MOA-2010-BLG-073L b,1,1,Microlensing,2012,,12.4,3500,,,,0.16,,2800
MOA-2010-BLG-117L b,1,1,Microlensing,2018,,14.2,170,,,,0.58,,3500
MOA-2010-BLG-328L b,1,1,Microlensing,2013,,2.99,9.2,,,,0.11,,810
MOA-2010-BLG-353L b,1,1,Microlensing,2015,,11.1,86,,,,0.18,,6430
MOA-2010-BLG-477L b,1,1,Microlensing,2012,,13.6,480,,,5950,0.67,,2300
MOA-2011-BLG-028L b,1,1,Microlensing,2016,,5.99,30,,,,0.75,,7380
MOA-2011-BLG-262L b,1,1,Microlensing,2014,,4.29,17,,,,0.11,,7200
MOA-2011-BLG-291L b,1,1,Microlensing,2018,,4.43,18,,,,0.15,,4400
MOA-2011-BLG-293L b,1,1,Microlensing,2012,547.5,12.9,1500,,,,0.86,,7720
MOA-2011-BLG-322L b,1,1,Microlensing,2013,,12.4,3690,,,,0.39,,7560
MOA-2012-BLG-006L b,1,1,Microlensing,2017,,12.6,2700,,,,0.49,,5300
MOA-2012-BLG-505L b,1,1,Microlensing,2017,,2.48,6.7,,,,0.1,,7210
MOA-2013-BLG-220L b,1,1,Microlensing,2014,,13.2,871,,,,0.88,,6720
MOA-2013-BLG-605L b,1,1,Microlensing,2016,,1.62,3.24,,,,0.02,,850
MOA-2015-BLG-337L b,1,1,Microlensing,2018,,6.42,33.7,,,,0.01,,7100
MOA-2016-BLG-227L b,1,1,Microlensing,2017,,13.2,890,,,,0.29,,6500
MOA-2016-BLG-319L b,1,1,Microlensing,2018,,14.1,200,,,,0.15,,6800
MOA-bin-1L b,1,1,Microlensing,2012,,13,1200,,,,0.75,,5100
MOA-bin-29 b,1,1,Microlensing,2019,,14.1,190,,,,0.03,,7120
MXB 1658-298 b,2,1,Eclipse Timing Variations,2017,760,12,7532.571,,,,1.98,,
NGC 2682 Sand 364 b,1,1,Radial Velocity,2014,121.71,12.7,2126.2827,0.35,,4284,9.06,2.2,817.192
NGC 2682 Sand 978 b,1,1,Radial Velocity,2017,511.21,13.3,692.8694,0.16,,4200,1.37,1.8,821.918
NGC 2682 YBP 1194 b,1,1,Radial Velocity,2014,6.959,12.3,101.7056,0.3,,5780,1.01,4.44,872.92
NGC 2682 YBP 1514 b,1,1,Radial Velocity,2014,5.118,14,127.132,0.28,,5725,0.96,4.57,914.221
NGC 2682 YBP 401 b,1,1,Radial Velocity,2016,4.087,14.3,146.2018,0.15,,6165,1.14,4.3,830.822
NGTS-1 b,1,1,Transit,2017,2.647298,14.908,258.07796,0.016,790,3916,0.62,4.71,218.121
NGTS-10 b,1,1,Transit,2020,0.7668944,13.507,687.14846,0,1332,4600,0.7,4.59,324.6986504
NGTS-11 b,1,1,Transit,2020,35.45533,9.158,109.33352,0.13,435,5050,0.86,4.5,190.422
NGTS-12 b,1,1,Transit,2020,7.532806,11.747,66.10864,0,1257,5690,1.02,4.04,446.442
NGTS-13 b,1,1,Transit,2021,4.119027,12.801,1538.2972,0.086,1605,5819,1.3,4.04,647.595
NGTS-14 A b,2,1,Transit,2021,3.5357173,4.977,29.24036,0,1143,5187,0.9,4.2,322.148
NGTS-15 b,1,1,Transit,2021,3.27623,12.33,238.68913,0,1146,5600,0.99,4.4,786.485
NGTS-16 b,1,1,Transit,2021,4.84532,14.572,211.99155,0,1177,5550,1,4.35,898.168
NGTS-17 b,1,1,Transit,2021,3.24253,13.899,242.8209,0,1457,5650,1.02,4,1040.28
NGTS-18 b,1,1,Transit,2021,3.05125,13.563,129.99182,0,1381,5610,1,4.16,1096.19
NGTS-2 b,1,1,Transit,2018,4.511164,17.878,235.1942,0,1468,6478,1.64,4.2,356.391
NGTS-3 A b,2,1,Transit,2018,1.6753728,16.589,756.4354,,,5600,1.02,4.45,743.972
NGTS-4 b,1,1,Transit,2019,1.3373508,3.18,20.6,0,1650,5143,0.75,4.5,280.555
NGTS-5 b,1,1,Transit,2019,3.3569866,12.733,72.78307,0,952,4987,0.66,4.52,306.779
NGTS-6 b,1,1,Transit,2019,0.882059,14.863,425.57437,0,1284,4730,0.77,4.7,308.262
NGTS-8 b,1,1,Transit,2019,2.4997,12.218,295.5819,0.01,1345,5241,0.89,4.41,428.976
NGTS-9 b,1,1,Transit,2019,4.43527,11.994,921.707,0.06,1448,6330,1.34,4.37,609.128
NN Ser c,2,2,Eclipse Timing Variations,2010,5573.55,12.6,2329.6,0.08,,57000,0.54,,515.818
NN Ser d,2,2,Eclipse Timing Variations,2010,2883.5,13.3,731,0.19,,57000,0.54,,515.818
NSVS 14256825 b,2,1,Eclipse Timing Variations,2019,3225,12.3,4497.2945,0.12,,40000,0.42,5.5,820.877
NY Vir b,2,2,Eclipse Timing Variations,2011,3160,13.3,730.978,0.15,,32780,0.46,5.74,544.024
NY Vir c,2,2,Eclipse Timing Variations,2019,8799,12.8,1760.7782,0.15,,32780,0.46,5.74,544.024
OGLE-2003-BLG-235L b,1,1,Microlensing,2004,,13.2,830,,,,0.63,,5800
OGLE-2005-BLG-071L b,1,1,Microlensing,2005,,13,1200,,55,,0.46,,3200
OGLE-2005-BLG-169L b,1,1,Microlensing,2006,,3.84,14.1,,,,0.69,,4100
OGLE-2005-BLG-390L b,1,1,Microlensing,2005,3285,2.21,5.5,,50,,0.22,,6600
OGLE-2006-BLG-109L b,1,2,Microlensing,2008,1788.5,14,231,,82,,0.51,,1510
OGLE-2006-BLG-109L c,1,2,Microlensing,2008,4927.5,11.1,86,0.15,59,,0.51,,1510
OGLE-2007-BLG-349L AB c,2,1,Microlensing,2016,2557,10.7,80,,,,0.41,,2760
OGLE-2007-BLG-368L b,1,1,Microlensing,2009,,4.72,20,,,,0.64,,5900
OGLE-2008-BLG-092L b,2,1,Microlensing,2014,,8.74,57,,,,0.71,,8100
OGLE-2008-BLG-355L b,1,1,Microlensing,2014,,12.9,1500,,,,0.37,,6800
OGLE-2011-BLG-0173L b,1,1,Microlensing,2018,,9.01,60,,,,0.41,,6100
OGLE-2011-BLG-0251L b,1,1,Microlensing,2012,,14.2,170,,,,0.26,,2570
OGLE-2011-BLG-0265L b,1,1,Microlensing,2015,,13.9,280,,,,0.21,,4380
OGLE-2012-BLG-0026L b,1,2,Microlensing,2012,,7.72,46.1,,,,1.06,,4019
OGLE-2012-BLG-0026L c,1,2,Microlensing,2012,,13.9,270,,,,1.06,,4019
OGLE-2012-BLG-0358L b,1,1,Microlensing,2013,,13.4,588,,,,0.02,,1760
OGLE-2012-BLG-0406L b,1,1,Microlensing,2013,,13.2,868,,,,0.44,,4970
OGLE-2012-BLG-0563L b,1,1,Microlensing,2015,,13.6,120,,,,0.34,,1300
OGLE-2012-BLG-0724L b,1,1,Microlensing,2016,,14.3,150,,,,0.29,,6700
OGLE-2012-BLG-0838L b,1,1,Microlensing,2020,,8.39,53.1,,,,0.4,,6320
OGLE-2012-BLG-0950L b,1,1,Microlensing,2016,,6.56,35,,,,0.57,,2600
OGLE-2013-BLG-0102L b,1,1,Microlensing,2014,,12.3,4100,,,,0.1,,3040
OGLE-2013-BLG-0132L b,1,1,Microlensing,2017,,11.6,92,,,,0.54,,3900
OGLE-2013-BLG-0341L B b,2,1,Microlensing,2014,,1.16,1.66,,,,0.11,,911
OGLE-2013-BLG-0911L b,1,1,Microlensing,2019,,12.5,3020,,,,0.29,,3220
OGLE-2013-BLG-1721L b,1,1,Microlensing,2017,,14.1,200,,,,0.46,,6300
OGLE-2013-BLG-1761L b,1,1,Microlensing,2018,,13.2,860,,,,0.33,,6900
OGLE-2014-BLG-0124L b,1,1,Microlensing,2015,,14.2,160,,,,0.71,,4100
OGLE-2014-BLG-0676L b,1,1,Microlensing,2016,,13.1,982,,,,0.62,,2220
OGLE-2014-BLG-1722L b,1,2,Microlensing,2018,,8.59,55.3,,,,0.4,,6400
OGLE-2014-BLG-1722L c,1,2,Microlensing,2018,,11,83.7,,,,0.4,,6400
OGLE-2014-BLG-1760L b,1,1,Microlensing,2016,,14.2,180,,,,0.51,,6860
OGLE-2015-BLG-0051L b,1,1,Microlensing,2016,,14,230,,,,0.1,,8200
OGLE-2015-BLG-0954L b,1,1,Microlensing,2016,,13.1,1100,,,,0.3,,1200
OGLE-2015-BLG-0966L b,1,1,Microlensing,2016,,4.86,21,,,,0.38,,3300
OGLE-2015-BLG-1649L b,1,1,Microlensing,2019,,13.2,807,,,,0.34,,4230
OGLE-2015-BLG-1670L b,1,1,Microlensing,2019,,4.42,17.9,,,,0.55,,6700
OGLE-2015-BLG-1771L b,1,1,Microlensing,2020,,14.3,138,,,,0.08,,7070
OGLE-2016-BLG-0263L b,1,1,Microlensing,2017,,13,1300,,,,0.13,,6500
OGLE-2016-BLG-0613L AB b,2,1,Microlensing,2017,,13,1330,,,,0.72,,3410
OGLE-2016-BLG-1067L b,1,1,Microlensing,2019,,14.3,140,,,,0.3,,3730
OGLE-2016-BLG-1190L b,1,1,Microlensing,2017,1224,12.3,4253,,,,0.88,,6770
OGLE-2016-BLG-1195L b,1,1,Microlensing,2017,,1.11,1.43,,,,0.08,,3910
OGLE-2016-BLG-1227L b,1,1,Microlensing,2020,,13.9,250,,,,0.1,,
OGLE-2017-BLG-0173L b,1,1,Microlensing,2018,,1.62,3.269,,,,0.4,,4705
OGLE-2017-BLG-0373L b,1,1,Microlensing,2018,,14,127,,,,0.25,,5915
OGLE-2017-BLG-0406L b,1,1,Microlensing,2020,,14.2,130,,,,0.56,,5200
OGLE-2017-BLG-0482L b,1,1,Microlensing,2018,,2.95,9,,,,0.2,,5800
OGLE-2017-BLG-0604L b,1,1,Microlensing,2020,,14.2,160,,,,0.7,,3950
OGLE-2017-BLG-1049L b,1,1,Microlensing,2020,,12.8,1760,,,,0.55,,5670
OGLE-2017-BLG-1140L b,1,1,Microlensing,2018,,13.5,505,,,,0.21,,
OGLE-2017-BLG-1375L b,1,1,Microlensing,2020,,12.4,3585,,,,0.81,,3930
OGLE-2017-BLG-1434L b,1,1,Microlensing,2018,,1.94,4.43,,,,0.23,,860
OGLE-2017-BLG-1522L b,1,1,Microlensing,2018,,14,240,,,,0.04,,7490
OGLE-2018-BLG-0567L b,1,1,Microlensing,2021,,12.3,101.70509,,,,0.25,,7060
OGLE-2018-BLG-0596L b,1,1,Microlensing,2019,,3.81,13.93,,,,0.23,,5650
OGLE-2018-BLG-0677L b,1,1,Microlensing,2020,,1.82,3.96,,,,0.12,,7580
OGLE-2018-BLG-0740L b,1,1,Microlensing,2019,5480,12.9,1500,0,,5912,1,4.5,3200
OGLE-2018-BLG-0962L b,1,1,Microlensing,2021,,13.6,425.89007,,,,0.54,,6500
OGLE-2018-BLG-1011L b,1,2,Microlensing,2019,,13.5,570,,,,0.18,,7100
OGLE-2018-BLG-1011L c,1,2,Microlensing,2019,,13.2,890,,,,0.18,,7100
OGLE-2018-BLG-1185L b,1,1,Microlensing,2021,,2.83,8.4,,,,0.37,,7400
OGLE-2018-BLG-1269L b,1,1,Microlensing,2020,,14.1,210,,,,1.11,,2510
OGLE-2018-BLG-1428L b,1,1,Microlensing,2021,,14,240,,,,0.43,,6220
OGLE-2018-BLG-1700L b,2,1,Microlensing,2020,,12.9,1400,,,,0.42,,7600
OGLE-2019-BLG-0304L b,2,1,Microlensing,2021,,14.2,162.09249,,,,0.27,,6980
OGLE-2019-BLG-0954L b,1,1,Microlensing,2021,,12.3,4513.16338,,,,0.8,,3630
OGLE-TR-10 b,1,1,Transit,2004,3.101278,14.011,197.046,0.82,1702,5950,1.14,4.18,1344.97
OGLE-TR-111 b,1,1,Transit,2004,4.0144463,11.422,174.799,0.54,1019,5040,0.82,4.54,1068.33
OGLE-TR-113 b,1,1,Transit,2004,1.4324752,12.251,400.449,0.15,1342,4790,0.78,4.55,566.459
OGLE-TR-132 b,1,1,Transit,2004,1.689868,13.45,375.02,0.6,2013,6210,1.3,4.31,2012.62
